Step,LJ_Potential,Kinetic_Energy,Total_Energy
523,-0.065225,0.030204,-0.035020
524,-0.068040,0.032855,-0.035185
525,-0.067394,0.031968,-0.035425
526,-0.060622,0.025060,-0.035562
527,-0.047530,0.012380,-0.035150
528,-0.035901,0.001572,-0.034329
529,-0.037400,0.002945,-0.034455
530,-0.050347,0.015061,-0.035286
531,-0.062562,0.026999,-0.035563
532,-0.068034,0.032656,-0.035378
533,-0.067851,0.032705,-0.035146
534,-0.064687,0.029689,-0.034998
535,-0.060446,0.025522,-0.034924
536,-0.056124,0.021232,-0.034891
537,-0.052156,0.017276,-0.034880
538,-0.048690,0.013813,-0.034878
539,-0.045747,0.010867,-0.034879
540,-0.043290,0.008408,-0.034883
541,-0.041270,0.006384,-0.034886
542,-0.039634,0.004746,-0.034889
543,-0.038338,0.003447,-0.034891
544,-0.037342,0.002449,-0.034893
545,-0.036616,0.001721,-0.034894
546,-0.036137,0.001242,-0.034895
547,-0.035891,0.000996,-0.034896
548,-0.035868,0.000972,-0.034896
549,-0.036065,0.001170,-0.034896
550,-0.036486,0.001591,-0.034895
551,-0.037140,0.002246,-0.034894
552,-0.038044,0.003151,-0.034893
553,-0.039220,0.004329,-0.034891
554,-0.040700,0.005812,-0.034888
555,-0.042523,0.007638,-0.034885
556,-0.044735,0.009853,-0.034882
557,-0.047387,0.012508,-0.034880
558,-0.050526,0.015647,-0.034879
559,-0.054175,0.019292,-0.034882
560,-0.058293,0.023395,-0.034898
561,-0.062680,0.027743,-0.034937
562,-0.066803,0.031778,-0.035025
563,-0.069495,0.034305,-0.035191
564,-0.068659,0.033233,-0.035426
565,-0.061718,0.026174,-0.035544
566,-0.048738,0.013626,-0.035113
567,-0.037682,0.003359,-0.034323
568,-0.039731,0.005243,-0.034488
569,-0.052677,0.017384,-0.035293
570,-0.064645,0.029099,-0.035546
571,-0.070001,0.034639,-0.035362
572,-0.069882,0.034745,-0.035137
573,-0.066892,0.031898,-0.034994
574,-0.062874,0.027953,-0.034922
575,-0.058796,0.023906,-0.034890
576,-0.055079,0.020201,-0.034879
577,-0.051869,0.016992,-0.034877
578,-0.049182,0.014303,-0.034878
579,-0.046983,0.012102,-0.034881
580,-0.045223,0.010339,-0.034884
581,-0.043849,0.008962,-0.034887
582,-0.042815,0.007925,-0.034890
583,-0.042081,0.007190,-0.034892
584,-0.041616,0.006723,-0.034893
585,-0.041396,0.006502,-0.034894
586,-0.041401,0.006506,-0.034895
587,-0.041618,0.006723,-0.034895
588,-0.042041,0.007145,-0.034896
589,-0.042665,0.007769,-0.034895
590,-0.043492,0.008597,-0.034895
591,-0.044527,0.009633,-0.034894
592,-0.045782,0.010888,-0.034893
593,-0.047270,0.012378,-0.034892
594,-0.049011,0.014120,-0.034891
595,-0.051030,0.016142,-0.034889
596,-0.053358,0.018472,-0.034886
597,-0.056030,0.021146,-0.034884
598,-0.059086,0.024205,-0.034882
599,-0.062565,0.027685,-0.034880
600,-0.066498,0.031618,-0.034880
601,-0.070890,0.036005,-0.034885
602,-0.075682,0.040781,-0.034900
603,-0.080677,0.045743,-0.034934
604,-0.085424,0.050422,-0.035003
605,-0.089032,0.053913,-0.035119
606,-0.090067,0.054803,-0.035264
607,-0.087006,0.051690,-0.035316
608,-0.080187,0.045145,-0.035043
609,-0.074656,0.040127,-0.034529
610,-0.077957,0.043488,-0.034469
611,-0.090941,0.056003,-0.034939
612,-0.106814,0.071562,-0.035252
613,-0.120011,0.084716,-0.035295
614,-0.128757,0.093334,-0.035423
615,-0.130779,0.094733,-0.036046
616,-0.118196,0.080876,-0.037320
617,-0.079408,0.042424,-0.036983
618,-0.035303,0.003421,-0.031882
619,-0.052706,0.018330,-0.034376
620,-0.102954,0.065216,-0.037737
621,-0.129584,0.092749,-0.036835
622,-0.132892,0.096909,-0.035983
623,-0.122447,0.086645,-0.035801
624,-0.102133,0.066614,-0.035519
625,-0.078948,0.044474,-0.034473
626,-0.068865,0.034856,-0.034009
627,-0.077977,0.042919,-0.035058
628,-0.091829,0.056126,-0.035702
629,-0.098796,0.063245,-0.035552
630,-0.098481,0.063238,-0.035244
631,-0.094139,0.059101,-0.035038
632,-0.088316,0.053382,-0.034934
633,-0.082354,0.047464,-0.034890
634,-0.076829,0.041955,-0.034874
635,-0.071938,0.037067,-0.034871
636,-0.067711,0.032838,-0.034873
637,-0.064111,0.029235,-0.034876
638,-0.061086,0.026206,-0.034880
639,-0.058579,0.023696,-0.034883
640,-0.056546,0.021661,-0.034886
641,-0.054953,0.020066,-0.034887
642,-0.053776,0.018887,-0.034888
643,-0.053003,0.018114,-0.034889
644,-0.052633,0.017745,-0.034889
645,-0.052677,0.017790,-0.034888
